5,9376
6,1495
5,92165
6,45378
6,20139
5,97382
6,22664
6,04652
6,01448
6,20873
6,19802
6,07081
6,1542
6,01624
6,02327
6,24898
6,03959
6,37352
6,27639
6,10702
6,38919
6,07936
5,99338
6,00845
6,1273
6,08965
6,06324
5,95148
6,08038
5,93465
5,78882
5,64825
5,82004
5,91799
6,11273
5,97856
5,9474
5,98226
5,9455
5,86936
6,02474
6,10448
5,90957
6,18167
6,18273
6,2027
5,92727
6,35487
6,03827
6,07333
5,99413
5,84495
6,00255
5,8001
5,90181
6,0122
5,7982
5,87944
5,9015
5,992
5,99059
6,00598
5,9667
5,96204
5,9841
6,0948
6,0261
6,01864
6,12245
6,36942
6,08138
6,05581
6,11612
6,11174
6,05513
5,91352
5,96858
5,87446
6,08774
6,37934
6,27227
6,18125
6,02057
5,9748
5,86053
5,97928
6,00881
6,14539
6,24858
5,99999
5,76534
5,98203
5,81719
5,85637
5,96788
5,9738
6,02803
5,87052
5,83848
5,93539
5,86638
5,98919
5,86661
5,8897
6,00799
5,86223
5,65251
6,00738
5,98691
5,84496
6,09715
6,11414
6,15793
6,02011
6,18156
5,80102
5,89449
5,9818
5,75812
5,71682
5,72401
5,62865
5,93423
6,02557
5,95534
